,r,r,r,r,r,r,r,r,r,r,mean_reward,timesteps
123,-1306.065706,-1648.817074,-1744.905004,-1686.0116899999998,-914.22974,-998.640758,-1167.8211039999999,-741.9916969999999,-1117.7514529999999,-963.5395890000001,-1228.9773815,24800
124,-1840.8232,-904.658442,-1721.747396,-993.628448,-1267.558462,-1352.0128619999998,-861.5658400000001,-1162.033461,-775.984837,-1679.2960649999998,-1255.9309013,25000
125,-1785.165206,-1078.261917,-960.5267039999999,-1071.065541,-1072.530699,-884.05753,-968.990132,-870.997615,-1800.467972,-1141.0497300000002,-1163.3113046,25200
126,-980.212451,-1055.611181,-1082.6280869999998,-1288.099184,-759.026617,-830.666538,-782.1367690000001,-1773.4052140000001,-879.756389,-1186.70677,-1061.8249199999998,25400
127,-1217.3318550000001,-829.033765,-1368.839555,-756.2727679999999,-969.5538619999999,-907.8232619999999,-1686.1756739999998,-969.9944820000001,-1172.478033,-1004.22419,-1088.1727446,25600
128,-909.1305970000001,-852.740134,-1387.8150369999998,-1333.595562,-1418.443948,-887.521391,-1615.52296,-1502.68098,-1486.2381050000001,-1448.7636220000002,-1284.2452336000001,25800
129,-1080.3912460000001,-1170.5549839999999,-1462.45183,-1363.554034,-1011.120856,-1402.7290890000002,-1552.798096,-1687.9663239999998,-1479.899474,-1164.760685,-1337.6226617999998,26000
130,-1409.161106,-983.611296,-1513.06239,-861.5857460000001,-1391.276441,-1690.4177829999999,-1564.309931,-1728.8936600000002,-920.7584019999999,-1220.982851,-1328.4059606,26200
131,-1319.562083,-841.271215,-883.520444,-1578.44887,-1453.0126289999998,-1642.299933,-1597.746797,-1011.8679199999999,-1223.725623,-882.644468,-1243.4099982000002,26400
132,-983.4501019999999,-1272.162332,-1617.644998,-1687.2902239999999,-1397.905674,-1743.60089,-866.118251,-1353.291356,-875.609864,-1034.099696,-1283.1173387,26600
133,-1105.633858,-1137.318736,-1551.8840300000002,-1550.4799449999998,-1778.236234,-969.1958,-1313.746767,-881.2433199999999,-809.423145,-1142.0199109999999,-1223.9181746,26800
134,-1679.874429,-866.0672380000001,-1481.833476,-1578.095665,-837.29092,-1386.102485,-891.236092,-968.958599,-965.903818,-1058.923655,-1171.4286377,27000
135,-1689.16419,-1848.2075309999998,-1696.4353800000001,-862.6011300000001,-1285.249758,-757.284214,-881.220989,-1334.9841119999999,-971.637891,-989.275564,-1231.6060759,27200
136,-980.865244,-865.826915,-1069.978951,-933.1276869999999,-1282.439483,-1169.3455279999998,-1367.986618,-1833.4539129999998,-964.569566,-1178.6915800000002,-1164.6285485,27400
137,-887.953127,-1545.224347,-869.034664,-1198.463658,-1339.001864,-1423.3922630000002,-1818.563378,-1175.572784,-1070.228149,-874.987994,-1220.2422228,27600
138,-868.6854609999999,-976.7518650000001,-1412.505154,-1172.463405,-1505.920795,-1743.4653210000001,-1182.6979820000001,-1191.133607,-867.972274,-1654.395425,-1257.5991288999999,27800
139,-1315.3416220000001,-1181.7550199999998,-1070.576463,-1559.8413970000001,-1852.0928370000001,-927.4308550000001,-1268.962161,-870.8613619999999,-1550.5967210000001,-1167.728991,-1276.5187429,28000
140,-1089.8449859999998,-1321.19389,-1403.691755,-1659.187206,-1074.885126,-1071.941117,-999.396108,-1447.584206,-1069.931628,-1175.5924009999999,-1231.3248423,28200
141,-1471.125905,-1065.84069,-1826.4075850000002,-1231.6174,-1175.30591,-932.955569,-1722.762116,-1176.482108,-1179.8495289999998,-1394.295806,-1317.6642618,28400
142,-1877.4458539999998,-953.015696,-963.649267,-1272.458225,-1117.233623,-1510.415093,-1117.6871,-1140.002333,-1473.28069,-1043.291264,-1246.8479145000001,28600
143,-867.463251,-1563.6193779999999,-1168.255127,-787.017101,-1788.6231030000001,-858.413315,-1291.396451,-1334.263077,-863.693778,-933.943573,-1145.6688154,28800
144,-1679.288304,-856.406558,-909.6441800000001,-1505.2656060000002,-1394.789294,-1523.6097439999999,-1495.283381,-1012.4899449999999,-866.359009,-1713.353236,-1295.6489256999998,29000
145,-864.725622,-1574.647937,-1447.893855,-1391.6402679999999,-1556.19337,-1496.1146820000001,-1045.788731,-862.011822,-1665.9667960000002,-900.2203480000001,-1280.5203431000002,29200
146,-1624.283566,-964.7963,-1325.137383,-1426.7755339999999,-1699.137691,-891.937744,-999.557263,-1772.900068,-933.969574,-1524.844378,-1316.3339500999998,29400
147,-1399.5357720000002,-1392.157003,-1773.126273,-1427.377591,-954.794275,-864.470214,-1724.853493,-923.2479050000001,-1692.0566379999998,-875.5648150000001,-1302.7183979,29600
148,-1490.065498,-967.85901,-1371.224065,-1064.681958,-1026.900143,-1631.0160560000002,-979.451211,-1658.7257140000002,-980.362228,-1536.391939,-1270.6677822000001,29800
149,-1393.105501,-860.087736,-749.080098,-992.0022240000001,-1798.373912,-817.693873,-1667.211826,-873.982963,-1465.350536,-874.3581320000001,-1149.1246801,30000
150,-997.3124019999999,-869.154512,-955.4196630000001,-1882.739757,-862.472665,-1707.6145559999998,-912.9304890000001,-1475.560142,-1060.86917,-757.760488,-1148.1833844,30200
