,r,r,r,r,r,r,r,r,r,r,mean_reward,timesteps
47,-1631.052524,-1636.646923,-1707.914124,-971.98687,-1594.048301,-1180.9459669999999,-1543.333257,-875.9295400000001,-861.272311,-765.6794110000001,-1276.8809228000002,9600
48,-1441.177774,-1283.3489240000001,-1577.773362,-897.85051,-966.3259820000001,-1247.186385,-1066.13167,-1106.637365,-1449.947417,-1626.487744,-1266.2867133,9800
49,-1547.436595,-1179.997065,-971.461011,-750.656799,-1228.148901,-880.333566,-1298.840789,-1436.050017,-1733.567857,-915.4328449999999,-1194.1925445,10000
50,-1070.8643869999999,-773.6715370000001,-1061.4838300000001,-1142.187363,-1234.606666,-1175.901653,-1638.514427,-1837.9746460000001,-1223.2342609999998,-1212.373619,-1237.0812388999998,10200
51,-966.174491,-851.4712689999999,-1167.760308,-1202.28839,-1263.022635,-1464.026416,-1795.7012559999998,-861.118874,-1162.2152199999998,-883.3966810000001,-1161.717554,10400
52,-1178.49623,-1066.332709,-1284.397367,-1770.393038,-1744.990061,-1070.90914,-946.747156,-1841.502516,-1593.564738,-1178.238,-1367.5570954999998,10600
53,-1202.0715400000001,-1662.132091,-1835.466823,-1622.177487,-1192.211565,-1112.169658,-1820.9170760000002,-1480.77478,-1217.200954,-858.5993800000001,-1400.3721354,10800
54,-1730.388354,-1076.174677,-1707.867459,-871.676844,-1181.5034150000001,-1788.8644809999998,-1644.8798359999998,-1075.2563630000002,-939.1569029999999,-1698.85152,-1371.4619852,11000
55,-1808.947323,-1663.095858,-971.258557,-959.009583,-1778.763029,-1653.480309,-1352.084382,-811.251309,-1715.38339,-783.971042,-1349.7244781999996,11200
56,-746.3656950000001,-759.845425,-1168.691454,-1751.187946,-1171.6867539999998,-1809.3856030000002,-1599.528316,-1406.7790009999999,-1145.656356,-1513.390059,-1307.2516609,11400
57,-1358.141961,-1223.9919289999998,-1636.264582,-965.3792080000001,-1773.09803,-1586.019112,-1416.365758,-1226.087608,-1642.387782,-912.6061699999999,-1374.0342139999998,11600
58,-1719.211652,-1274.220565,-974.8698109999999,-1483.180633,-1705.158884,-1331.754885,-1191.225738,-1656.170184,-1150.72874,-851.748815,-1333.8269907000004,11800
59,-1132.4349109999998,-1622.1946380000002,-1501.8080699999998,-1691.1925030000002,-1500.388075,-1073.079392,-1559.437142,-888.912378,-1256.734403,-979.9862509999999,-1320.6167763,12000
60,-1284.0651990000001,-899.5728640000001,-1781.200811,-1345.184224,-1308.519633,-1774.6897960000001,-1721.130604,-889.0233609999999,-1196.278196,-1254.204558,-1345.3869246,12200
61,-1723.592836,-1001.295472,-1522.669671,-1067.7868230000001,-1819.4805670000003,-1688.944415,-1093.286357,-905.3897119999999,-1278.970462,-888.805958,-1299.0222273000002,12400
62,-1542.955387,-752.502967,-1175.778389,-1642.0037300000001,-1593.486993,-872.055099,-1272.211076,-1259.185524,-862.49413,-1066.70356,-1203.9376855,12600
63,-1281.552874,-1674.334269,-1851.240532,-1735.7852149999999,-960.318107,-1009.4122890000001,-1312.670911,-763.501913,-1195.79771,-850.0319880000001,-1263.4645808,12800
64,-1113.851693,-854.999066,-1344.189741,-1456.371703,-1766.6338260000002,-870.0479730000001,-1744.8836620000002,-1700.2256510000002,-1719.335039,-1642.073035,-1421.2611388999999,13000
65,-1492.937946,-1386.267502,-1642.3014050000002,-1407.557617,-1189.132763,-1541.491712,-1781.4090809999998,-1564.762091,-1718.9905019999999,-962.341223,-1468.7191841999997,13200
66,-1657.418091,-990.64626,-1352.3265509999999,-963.129824,-1592.377001,-1826.9885179999999,-1720.626698,-1633.903269,-1049.2827960000002,-1263.1303050000001,-1404.9829313,13400
67,-1440.2095980000001,-1132.795672,-846.807152,-1554.787571,-1816.603861,-1737.797043,-1683.602877,-1057.079569,-1373.768346,-999.338532,-1364.2790221,13600
68,-1121.69886,-745.908455,-794.590812,-872.34971,-1568.531432,-1173.196072,-1470.689754,-1762.5130760000002,-1355.138792,-1259.736672,-1212.4353635,13800
69,-868.636174,-1625.27209,-822.1559070000001,-1451.078468,-1355.962013,-1520.198659,-1713.0058399999998,-1078.239243,-1288.825207,-874.1560039999999,-1259.7529605,14000
70,-876.258039,-1404.628206,-1205.062606,-1124.736191,-1719.217764,-1712.518794,-1292.580148,-1084.429122,-1186.219404,-1512.7474539999998,-1311.8397727999998,14200
71,-1499.286779,-1306.263966,-1124.867226,-1412.5052349999999,-1791.80446,-1180.3995960000002,-1382.7063130000001,-894.845302,-1553.937257,-1195.74534,-1334.2361474,14400
72,-1531.982844,-1160.804154,-750.456199,-1533.036,-1459.738438,-1569.292742,-1568.858856,-1039.988077,-898.1326710000001,-1764.633506,-1327.6923487,14600
73,-1278.214652,-1702.232001,-1307.059602,-1514.265067,-1486.1701699999999,-1545.633382,-1297.535863,-895.013301,-1723.1132289999998,-1347.04421,-1409.6281476999998,14800
74,-1294.685263,-1103.6334769999999,-1317.362553,-1757.6466850000002,-1624.928188,-1216.3155470000002,-1111.804645,-1809.024888,-965.803417,-1709.730261,-1391.0934923999998,15000
75,-1519.29411,-1658.2180050000002,-1630.462078,-1387.752061,-1168.741414,-1145.7792949999998,-1652.630588,-949.732791,-1697.718384,-1098.604693,-1390.8933419,15200
76,-932.706736,-1071.50673,-1165.521942,-913.7068820000001,-1097.9581660000001,-1650.436074,-1670.880406,-1529.1977140000001,-843.6505099999999,-1320.8369619999999,-1219.6402122,15400
77,-1344.2123960000001,-1805.428445,-1021.015065,-871.6099949999999,-1808.646537,-1318.8377560000001,-1839.1107140000001,-881.470042,-1313.437084,-1237.829775,-1344.1597809,15600
78,-773.5541599999999,-1152.373592,-901.5453650000001,-1669.218856,-1329.788275,-1688.270427,-1050.60051,-1170.954998,-1059.017527,-1726.891437,-1252.2215147,15800
79,-1181.71652,-1216.442636,-1591.282737,-1195.0331130000002,-1734.56688,-1045.667901,-1310.355655,-816.676608,-1647.110607,-1294.9269,-1303.3779557,16000
80,-1101.456895,-1698.187541,-1530.685491,-1412.0085900000001,-1537.091347,-1314.9739339999999,-1362.1499390000001,-877.781232,-1698.07418,-1348.673527,-1388.1082675999999,16200
81,-1550.852983,-1382.3481880000002,-1293.022368,-1471.2734710000002,-1295.646676,-1457.603551,-1065.856732,-1414.375225,-1290.194368,-1597.494308,-1381.8667870000002,16400
82,-1287.468716,-1008.513282,-1322.916167,-1184.825914,-1147.437249,-1131.546829,-1685.145173,-901.3779619999999,-1691.7254289999998,-1179.244309,-1254.020103,16600
83,-1820.6843379999998,-1791.772637,-867.118334,-1151.593735,-966.485058,-1620.896765,-1076.819039,-1311.0249019999999,-1171.9004220000002,-1081.191421,-1285.9486651,16800
84,-1617.039422,-1726.4331379999999,-1160.546457,-1741.838795,-1318.7236560000001,-1252.044802,-1706.844448,-1086.757034,-1126.434524,-935.8484380000001,-1367.2510714000002,17000
85,-1088.175857,-1476.330743,-1488.299753,-1038.423575,-1341.657102,-1713.342745,-1370.116483,-967.837683,-884.9418619999999,-1692.3941280000001,-1306.1519930999998,17200
86,-1698.423266,-1642.945859,-857.629082,-1316.488118,-1651.067344,-1584.1838369999998,-1177.514607,-871.5722820000001,-1739.734003,-1380.241366,-1391.9799764000004,17400
87,-900.5875130000001,-1739.174184,-1059.975544,-1722.0328129999998,-1446.266057,-1270.572656,-1168.430508,-1398.0123199999998,-1277.345241,-1621.187477,-1360.3584313,17600
88,-1551.628549,-1531.967867,-958.735277,-1616.1503480000001,-1461.346976,-1528.518857,-1233.854676,-1311.265771,-1566.073334,-1374.39,-1413.3931655,17800
89,-849.5444570000001,-1232.1635529999999,-1754.5648489999999,-1213.946842,-1697.317916,-1347.827268,-1545.009843,-1238.2292300000001,-1086.739606,-1201.844053,-1316.7187617000004,18000
90,-1631.624453,-1328.622817,-1196.983265,-1533.8140230000001,-1457.0965019999999,-1575.541715,-1666.5382960000002,-1075.3474449999999,-1197.338475,-943.5937650000001,-1360.6500756,18200
91,-983.0468279999999,-1810.9724989999997,-1342.939416,-1215.6654800000001,-1626.6592859999998,-1736.5281079999997,-1489.410117,-974.4815800000001,-793.137821,-1375.980993,-1334.8822127999997,18400
92,-1632.8994810000002,-1824.5235149999999,-1814.229489,-1726.8669760000002,-1288.995118,-1397.379958,-1715.975566,-1022.623343,-1712.000721,-1245.647902,-1538.1142069000002,18600
93,-1521.2503789999998,-1465.8222269999999,-1814.9989480000002,-912.359313,-1692.8233519999999,-1796.0721859999999,-1363.559043,-1662.9617289999999,-1341.790788,-1791.5837920000001,-1536.3221757,18800
94,-1621.882855,-1812.3861370000002,-768.301813,-1421.6234220000001,-1811.122284,-1560.8457560000002,-1853.4174620000001,-1200.203888,-1756.435661,-964.537783,-1477.0757061,19000
95,-1031.730356,-1413.651007,-1423.570532,-1753.6139870000002,-1552.691279,-1877.8685070000001,-1396.0066769999999,-1761.058016,-1137.000671,-1716.500694,-1506.3691726000002,19200
96,-979.590079,-1124.4046720000001,-1303.3412859999999,-1284.221092,-1584.492391,-1783.300145,-1583.760031,-1399.356304,-1409.546152,-1372.380056,-1382.4392208,19400
97,-855.801219,-1655.153779,-1306.587023,-1349.002919,-1762.716476,-1736.592336,-1681.833322,-1331.3858890000001,-1174.0365689999999,-977.354152,-1383.0463684,19600
98,-1062.571583,-934.2719789999999,-1167.420504,-1733.8429390000001,-1623.799696,-1863.871219,-1644.910982,-1161.1140699999999,-1069.64425,-1733.0658260000002,-1399.4513048,19800
99,-973.3472419999999,-1649.863861,-1630.619225,-1434.4636890000002,-1798.1293899999998,-1776.791164,-1568.634267,-907.010696,-1637.834392,-1166.384968,-1454.3078894,20000
100,-1604.5175470000001,-963.148172,-1505.782428,-1445.692525,-1797.703916,-1660.080516,-1744.501286,-1322.213701,-751.386612,-1793.218999,-1458.8245702000002,20200
101,-1384.2618300000001,-1505.1093779999999,-1264.493912,-1745.8004230000001,-1633.995844,-1795.0463760000002,-1520.816247,-885.956427,-1749.34686,-909.532941,-1439.4360238000002,20400
102,-1114.6777,-1791.165225,-1674.9643019999999,-1451.491253,-1766.0634969999999,-1694.628677,-1297.090366,-1775.230066,-906.708802,-1312.374433,-1478.4394321,20600
103,-1489.8787949999999,-894.4629050000001,-1388.909241,-1665.254955,-1617.8122,-1449.465679,-1767.572486,-988.0324019999999,-1087.152634,-1670.944365,-1401.9485662000002,20800
104,-1555.464902,-1577.228313,-1526.203365,-1828.479793,-1472.624468,-1782.408828,-1756.5031,-1436.068982,-975.236912,-884.488381,-1479.4707044000002,21000
105,-957.082214,-1619.093162,-1793.4717059999998,-1292.032033,-1591.950223,-1727.135266,-1532.399418,-857.059118,-899.4546449999999,-1557.045135,-1382.6722919999997,21200
106,-1540.194057,-1749.3193850000002,-1363.747757,-1727.850875,-1555.954237,-1729.5045559999999,-1483.36477,-1068.081183,-1099.6137509999999,-1573.087914,-1489.0718485000002,21400
107,-768.853744,-1183.308112,-1538.940599,-1428.296763,-1569.743717,-1585.747067,-1328.0217109999999,-1642.581975,-1379.253669,-1503.9991929999999,-1392.874655,21600
108,-1340.518093,-1156.3073160000001,-1440.312886,-1338.862952,-1282.625007,-1599.011356,-1318.9846539999999,-893.4884119999999,-1330.7421279999999,-1314.420814,-1301.5273618000003,21800
